codes,entropy Von Neumann
HCA6002236,4.398913406372797
HCA6010538,4.9000370962421975
HCA6018857,4.470667221462815
HCA6030645,4.404443219780239
HCA6047359,5.0674596914138155
HCA6051047,4.88070718104391
HCA6053758,4.122268039640727
HCA6054457,4.689443552601089
HCA6058970,5.093816638848685
HCA6061757,4.700929935571429
HCA6062456,4.669214899561674
HCA6075263,4.745571216985347
HCA6086369,4.731326109762584
HCA6086470,4.622193938234434
HCA6086975,5.237338388569883
HCA6089375,4.722275407921773
HCA6091766,4.659166958559334
HCA6095572,4.866461280674055
HCA6098073,4.5895508808843335
HCA6102038,3.6182033563355214
HCA6108050,4.721886035254602
HCA6108151,4.526939618936721
HCA6109658,4.880218054041906
HCA6110138,4.145439845314835
HCA6111241,4.974760821489196
HCA6117051,4.5530601131133555
HCA6119257,4.369008711589939
HCA6120646,4.701770332133999
HCA6125050,4.407319104186753
HCA6130548,4.478096256534931
HCA6131449,4.926509077770232
HCA6139970,4.277261512846341
HCA6143557,4.374294865871705
HCA6144357,5.393188482802156
HCA6144862,4.580940487261923
HCA6162662,4.125486507696065
HCA6165971,4.760192669626676
HCA6166973,4.811467072952459
HCA6176471,4.176786627523924
HCA6183064,4.3692452370403085
HCA6197580,4.6877552318369125
HCA6198582,4.364537719245787
HCA6214958,4.1749408247349535
HCA6223050,4.721200136120093
HCA6234964,4.31524792202244
HCA6242054,4.667092670033442
HCA6249977,4.720312448432452
HCA6253867,4.2727030498592065
HCA6269377,3.433060238900378
HCA6276475,4.390681641764762
HCA6280668,4.434598405431981
HCA6283371,4.794365716005859
HCA6285274,4.840470862917017
HCA6287177,4.948632638606021
HCA6290368,4.171332803499981
HCA6291976,4.201089161362301
HCA6295782,3.8933480087707784
HCA6301751,4.473077913399835
HCA6302349,4.313603896426823
HCA6307056,4.358957095436333
HCA6312352,4.374686984372084
HCA6317665,4.901735568830844
HCA6318465,4.834022624329912
HCA6320048,4.643189883993514
HCA6326767,4.581568941120624
HCA6333158,4.395054899737486
HCA6337974,4.557075953627168
HCA6363167,4.84370355314068
HCA6372875,4.80122733552116
HCA6374576,4.675510745255828
HCA6375275,4.533480577396615
HCA6388082,4.992881189913612
HCA6400450,4.670644160825873
HCA6405157,4.643346558627698
HCA6409165,4.3050776613324935
HCA6421963,4.477914313320511
HCA6427066,4.884259110008541
HCA6429272,4.287374502620865
HCA6436774,4.416243088981773
HCA6439780,4.3281665660692745
HCA6451366,4.175181740273374
HCA6459584,4.253764437254613
HCA6461066,5.1609917277353645
HCA6464678,4.635026285134048
HCA6465175,4.478710256716155
HCA6467179,3.8248439983092615
HCA6470673,5.018192693497818
HCA6471675,4.4004049112192885
HCA6474782,4.3213359753915555
HCA6475986,4.966591943810055
HCA6476584,4.807441510569688
HCA6498190,4.806241892064021
HCA6515366,4.960118501833119
HCA6521664,5.037010733232611
HCA6529680,4.627391308108508
HCA6531667,3.9926992843509597
HCA6532972,4.746667056053203
HCA6539885,4.432144810434289
HCA6542470,4.331402262915353
HCA6552069,4.243198326093566
HCA6559184,4.312108746184805
HCA6559487,4.92739172973546
HCA6562577,4.29939059006394
HCA6566888,5.127363920041471
HCA6570677,4.372296185789489
HCA6574685,4.756864334668155
HCA6576487,4.660248332292953
HCA6576689,4.370006482700793
HCA6582684,4.402701559047071
HCA6583484,4.78207467495895
HCA6585084,3.709722932015288
HCA6589294,4.257201525053439
HCA6595188,4.2215699364897254
