codes,entropy Von Neumann
HCA6002236,4.582245843352693
HCA6010538,5.000216430853939
HCA6018857,4.6620883107857605
HCA6030645,4.620899201277394
HCA6047359,5.176669336412775
HCA6051047,5.024411748834472
HCA6053758,4.3474722172849685
HCA6054457,4.891835755066991
HCA6058970,5.172123909460687
HCA6061757,4.880523837423805
HCA6062456,4.814042252753316
HCA6075263,4.9453819068066505
HCA6086369,4.9066680604291735
HCA6086470,4.844964678968838
HCA6086975,5.289817297316888
HCA6089375,4.880300592510503
HCA6091766,4.8317841647833255
HCA6095572,5.003869673004086
HCA6098073,4.721842110655181
HCA6102038,3.9335988429024678
HCA6108050,4.8621834926836875
HCA6108151,4.740755544389847
HCA6109658,5.025064020721919
HCA6110138,4.429763766690119
HCA6111241,5.087677021468908
HCA6117051,4.7735164122181
HCA6119257,4.637089669636099
HCA6120646,4.8459271307782785
HCA6125050,4.531939453654032
HCA6130548,4.680672806901243
HCA6131449,5.045576793472042
HCA6139970,4.487610697560226
HCA6143557,4.640874341088739
HCA6144357,5.419555110612434
HCA6144862,4.764471217101754
HCA6162662,4.360010857545965
HCA6165971,4.944365371421455
HCA6166973,4.9758497995073245
HCA6176471,4.405359121747459
HCA6183064,4.609905838488348
HCA6197580,4.897123515585212
HCA6198582,4.508080476910452
HCA6214958,4.412217489312367
HCA6223050,4.815880318510013
HCA6234964,4.573531092457366
HCA6242054,4.857973088941407
HCA6249977,4.891424105892758
HCA6253867,4.543046939243277
HCA6269377,3.717422741787996
HCA6276475,4.659720088217664
HCA6280668,4.613721493013012
HCA6283371,4.974764622681308
HCA6285274,4.976208886583608
HCA6287177,5.055634522463297
HCA6290368,4.4152918643317625
HCA6291976,4.3926917600967315
HCA6295782,4.143104115794041
HCA6301751,4.647388386600859
HCA6302349,4.536236169606097
HCA6307056,4.613037215866067
HCA6312352,4.530471140757911
HCA6317665,5.057097483074369
HCA6318465,4.959952083208736
HCA6320048,4.841330633256587
HCA6326767,4.822915897326693
HCA6333158,4.62089039155128
HCA6337974,4.768806114372962
HCA6363167,4.981414951949881
HCA6372875,4.929656823838863
HCA6374576,4.8162037000440066
HCA6375275,4.675960258734412
HCA6388082,5.116150134300462
HCA6400450,4.87845306112114
HCA6405157,4.791922049295142
HCA6409165,4.537668292400943
HCA6421963,4.644603813355516
HCA6427066,5.013450355719181
HCA6429272,4.536764610218546
HCA6436774,4.628531608465136
HCA6439780,4.545783947938547
HCA6451366,4.439855225650712
HCA6459584,4.549211445124611
HCA6461066,5.223850922834815
HCA6464678,4.80949325420293
HCA6465175,4.65876908416233
HCA6467179,4.075895614501141
HCA6470673,5.171020957414031
HCA6471675,4.610025580073064
HCA6474782,4.571563326719775
HCA6475986,5.078989672234684
HCA6476584,4.897067692025795
HCA6498190,4.908270409140011
HCA6515366,5.072210078949661
HCA6521664,5.093105566791394
HCA6529680,4.780789086360076
HCA6531667,4.203452307446587
HCA6532972,4.905020813026234
HCA6539885,4.670281407250058
HCA6542470,4.580877050375521
HCA6552069,4.492125329118693
HCA6559184,4.470902523641664
HCA6559487,5.073980786998622
HCA6562577,4.523523061723592
HCA6566888,5.199447237438673
HCA6570677,4.570349741743657
HCA6574685,4.8729928485775575
HCA6576487,4.855566080098564
HCA6576689,4.565821740956006
HCA6582684,4.5808186961469035
HCA6583484,4.942161947140155
HCA6585084,3.895995449675377
HCA6589294,4.49576404737817
HCA6595188,4.472310924752296
