codes,entropy Von Neumann
HCA6002236,3.9455992816594017
HCA6010538,4.345430683360611
HCA6018857,4.053689913184363
HCA6030645,3.964455163040001
HCA6047359,4.56788488015249
HCA6051047,4.45045474604097
HCA6053758,3.729790709270024
HCA6054457,4.280352816778104
HCA6058970,4.630501642854814
HCA6061757,4.180772450149334
HCA6062456,4.138467408031784
HCA6075263,4.243226933109125
HCA6086369,4.277426120147468
HCA6086470,4.195990122005233
HCA6086975,4.741770442212861
HCA6089375,4.246546588401616
HCA6091766,4.238024301590551
HCA6095572,4.413427278702734
HCA6098073,4.137590929940645
HCA6102038,3.1565592566322356
HCA6108050,4.2973229106735875
HCA6108151,4.1182474848949155
HCA6109658,4.42273998998496
HCA6110138,3.754554444010905
HCA6111241,4.48073855842315
HCA6117051,4.145336939429363
HCA6119257,3.957354596267927
HCA6120646,4.16496941895073
HCA6125050,3.9505198216950346
HCA6130548,4.103181163165997
HCA6131449,4.474587273242625
HCA6139970,3.8836660252332846
HCA6143557,3.959830917690942
HCA6144357,4.913162154333212
HCA6144862,4.138060167863678
HCA6162662,3.7454103372181367
HCA6165971,4.308457328000612
HCA6166973,4.33461004556022
HCA6176471,3.769126778827493
HCA6183064,3.9745819961564344
HCA6197580,4.249232413205622
HCA6198582,3.9493041965592335
HCA6214958,3.7811827618645033
HCA6223050,4.2588984575992015
HCA6234964,3.9155428797230725
HCA6242054,4.1882420648370235
HCA6249977,4.2598442829083805
HCA6253867,3.8365463571711094
HCA6269377,3.0502896593131505
HCA6276475,3.96238227132721
HCA6280668,4.004366026550671
HCA6283371,4.373133222427047
HCA6285274,4.350785528560416
HCA6287177,4.474076242681807
HCA6290368,3.703284354850446
HCA6291976,3.7507331370595347
HCA6295782,3.466404416377036
HCA6301751,4.010813349001133
HCA6302349,3.8580891506213755
HCA6307056,3.9544959316264032
HCA6312352,3.9296537793550437
HCA6317665,4.40013205454283
HCA6318465,4.277322014790983
HCA6320048,4.214050791336177
HCA6326767,4.163918592650493
HCA6333158,3.9945188875505373
HCA6337974,4.105205751110704
HCA6363167,4.375689855629577
HCA6372875,4.383034012737562
HCA6374576,4.2214742962947405
HCA6375275,4.079229494572748
HCA6388082,4.538535727987263
HCA6400450,4.1954999749711845
HCA6405157,4.160255372317588
HCA6409165,3.8606649516964975
HCA6421963,3.9816920389099675
HCA6427066,4.441908149209013
HCA6429272,3.8703749531508924
HCA6436774,3.927617276471743
HCA6439780,3.947346274240906
HCA6451366,3.7395712822144844
HCA6459584,3.8550803549828814
HCA6461066,4.635327838434718
HCA6464678,4.148265997165758
HCA6465175,4.053384158129289
HCA6467179,3.385091435210742
HCA6470673,4.541187607660122
HCA6471675,4.0174666860072765
HCA6474782,3.9076565817571955
HCA6475986,4.498413581295715
HCA6476584,4.279833608440333
HCA6498190,4.28661267813549
HCA6515366,4.50216402090278
HCA6521664,4.516400976263213
HCA6529680,4.20617736359587
HCA6531667,3.6032526716248867
HCA6532972,4.220782551409062
HCA6539885,4.027862522373969
HCA6542470,4.015244224073762
HCA6552069,3.7584627060292783
HCA6559184,3.78664174437849
HCA6559487,4.473165728809101
HCA6562577,3.8982902513046773
HCA6566888,4.597057764079704
HCA6570677,3.937753703053568
HCA6574685,4.236840056030434
HCA6576487,4.215014331893766
HCA6576689,3.937219924452624
HCA6582684,3.932310613808153
HCA6583484,4.359172438766873
HCA6585084,3.3261117903608928
HCA6589294,3.871462091697696
HCA6595188,3.816489631266941
HCA6595794,4.021903527991158
HCA6597293,4.132543320083613
HCA6599803,4.104036378151199
HCA6604264,3.7259524911887367
HCA6605569,4.329823711688439
HCA6606571,3.9349600436417034
HCA6618679,4.0200623587453785
HCA6623874,4.549066908271244
HCA6626779,3.6296322373905174
HCA6627377,3.372724491783973
HCA6631671,4.519930806997264
HCA6633069,4.007964594313766
HCA6635679,4.36841554851889
HCA6640672,4.479631814383751
HCA6645985,3.9426400811746936
HCA6649993,4.217947876736595
HCA6653277,4.380374602405459
HCA6658994,4.113107053801228
HCA6660880,4.248241861710659
HCA6668391,4.161422060963863
HCA6670479,3.9884112416929707
HCA6671178,4.2024048792607065
HCA6671380,4.530527299012915
HCA6674588,4.586236920525607
HCA6678495,3.7616366157863363
HCA6680987,4.3957769494737065
HCA6682688,4.293010742399785
HCA6685492,4.102263805616969
HCA6686191,4.20998881127196
HCA6691992,4.558721654191743
HCA6700664,4.05809453698651
HCA6706373,3.84817656341711
HCA6725377,3.8131831462094383
HCA6731574,4.414930818540167
HCA6732374,3.983570736527174
HCA6741173,3.9684478353526185
HCA6742377,3.958214825680339
HCA6746284,3.63917047263253
HCA6749088,3.420645503600152
HCA6750477,3.6967289174819973
HCA6752784,4.096360170090895
HCA6753079,4.183117966251473
HCA6756287,3.8791485009773554
HCA6757390,3.928552120117006
HCA6763486,4.14254060100881
HCA6766290,3.715925592891674
HCA6771081,4.328692639085562
